submission1_id,Q1,Q2,Q3,Q4,Q5,Q6,Q7
1_s918237454,2,0,1,1,1,1,1
2_s293915255,2,1,1,1,1,1,1
3_s231820315,2,0,1,0,1,1,1
4_s302245909,2,0,0,0,1,1,1
5_s251761174,2,1,1,1,1,1,1
6_s152544099,0,0,0,0,1,0,0
7_s675601682,2,1,1,1,1,1,1
8_s643369443,2,0,1,1,1,1,1
9_s620128204,0,1,1,1,1,1,1
10_s885212911,2,0,1,1,1,0,1
11_s733909107,2,0,1,0,1,0,0
12_s871152411,2,0,0,0,0,1,1
13_s568910407,0,1,1,1,1,1,1
14_s911472974,2,0,1,1,1,1,1
15_s683431180,2,0,1,0,1,1,1
16_s776742151,0,1,0,1,0,0,1
17_s502606845,2,0,0,0,1,1,1
18_s930111637,2,0,0,0,1,1,1
19_s341856305,2,1,1,1,1,1,1
20_s232388254,2,0,1,1,1,1,1
21_s847049129,2,0,1,1,1,1,1
22_s874811528,2,1,0,0,1,1,1
23_s059049459,2,1,1,1,1,1,1
24_s252525406,2,1,1,1,1,1,1
25_s073846843,2,1,1,1,1,1,1
26_s238116946,2,0,1,1,1,1,1
27_s039407328,2,0,1,1,1,1,1
28_s355103432,2,0,1,1,1,1,1
29_s406762427,2,0,1,1,1,1,1
30_s821722284,1,1,1,1,1,1,1
31_s549709070,2,0,1,1,1,1,1
32_s213301268,2,0,1,1,1,1,1
33_s220690653,0,1,1,1,1,1,1
34_s701455186,0,1,0,1,1,0,1
35_s113138591,2,1,1,1,1,1,1
36_s703840520,2,0,1,1,1,1,1
37_s868027988,2,0,1,0,0,1,1
38_s703248447,0,1,1,1,1,1,1
39_s604395317,0,0,0,0,1,0,0
40_s481632788,2,0,0,0,1,1,1
41_s940490218,0,1,1,1,1,1,1
42_s302652555,2,1,1,1,1,1,1
43_s724831910,2,1,1,1,1,1,1
44_s868645901,0,0,0,0,0,0,0
45_s602736263,2,1,1,1,1,1,1
46_s028386806,1,1,1,1,1,0,0
47_s237525316,0,1,0,0,1,0,0
48_s306795269,0,1,1,1,1,1,1
49_s008316601,2,1,1,0,1,1,1
50_s047812315,0,1,1,1,1,1,1
51_s505491395,2,0,0,0,1,0,1
52_s848168883,0,1,1,1,1,1,1
53_s750065104,2,0,0,0,1,1,1
54_s040795031,2,0,1,0,1,1,1
55_s695408269,2,0,1,0,1,1,1
56_s247145139,0,1,1,1,1,1,1
57_s594644708,1,1,1,0,1,1,1
58_s028676556,2,0,1,0,1,1,1
59_s054307587,0,1,1,1,1,1,1
60_s999323619,2,1,1,1,1,1,1
61_s571426162,2,1,1,1,1,1,1
62_s332147599,2,0,1,1,1,1,1
63_s913774491,2,0,1,1,1,1,1
64_s430597677,0,1,1,0,1,1,0
65_s646624169,0,0,0,0,0,0,0
66_s593502386,2,1,1,1,1,1,1
67_s658643409,2,0,0,1,1,1,1
68_s536828572,0,1,1,1,1,1,1
69_s263211116,0,1,1,1,1,1,1
70_s068872313,2,0,1,1,1,1,1
71_s930243415,2,0,1,0,0,1,1
72_s278686560,2,0,1,1,1,1,1
73_s460723019,0,1,1,1,1,1,1
74_s907708804,0,1,1,1,1,1,1
75_s284671020,2,1,1,0,1,1,1
76_s531289077,0,1,1,1,1,1,1
77_s919203045,2,0,1,1,1,1,1
78_s888617582,2,1,0,0,1,0,0
79_s130099978,2,1,1,0,1,1,1
80_s238896185,2,0,0,0,1,1,1
81_s015429141,2,0,1,0,1,1,1
82_s145029572,2,1,0,0,1,1,1
83_s642874323,0,1,1,1,1,1,1
84_s655410722,2,0,0,0,1,1,1
85_s864034470,0,0,0,0,0,0,0
86_s167233001,2,1,1,1,1,1,1
87_s419095534,2,0,0,1,0,1,1
88_s571689901,2,0,0,0,1,1,1
89_s128842224,2,0,0,0,1,1,1
90_s188607031,2,0,1,1,1,1,1
91_s723755036,0,1,1,1,1,1,1
92_s096942121,0,0,0,0,0,0,0
93_s261624434,2,1,0,1,1,1,1
94_s239420183,2,0,1,1,1,1,1
95_s737418505,2,1,1,0,1,1,1
96_s879255025,2,0,0,0,1,1,1
97_s193501930,0,0,0,0,0,0,0
98_s418882082,2,1,1,0,1,1,1
99_s861904966,2,1,1,1,1,1,1
100_s241914799,0,1,0,0,1,0,0
101_s075615060,0,0,0,0,0,0,0
102_s579245405,0,0,0,0,0,0,0
103_s005534087,2,1,0,0,1,1,1
104_s596836110,2,0,1,1,1,1,1
105_s668552665,2,0,1,1,1,1,1
106_s118468146,2,1,1,1,1,1,1
107_s561353059,2,0,0,0,1,1,1
108_s055747935,2,0,0,0,1,1,1
109_s203194475,2,0,1,0,1,1,1
110_s459165530,0,0,1,1,0,1,1
111_s727003607,0,1,1,1,1,1,1
112_s044587225,2,1,1,1,1,1,1
113_s303174948,2,1,0,1,1,1,1
114_s377065541,2,0,1,1,1,1,1
115_s891968879,2,1,1,1,1,1,1
116_s038695080,2,0,1,1,1,1,1
117_s339408341,2,0,1,1,1,1,1
118_s325276465,2,0,1,0,1,1,1
119_s184986690,2,1,1,1,1,1,1
120_s984924012,2,0,1,1,1,1,1
121_s631227566,2,0,0,0,1,1,1
122_s172674675,2,0,0,0,1,1,1
123_s700309976,2,0,0,0,1,1,1
124_s655746235,0,0,1,1,0,1,0
125_s470874498,2,0,0,0,0,1,1
126_s542694879,2,1,1,1,1,1,1
127_s117133146,2,1,1,0,1,1,1
128_s973777543,2,0,0,0,1,1,1
129_s213874119,2,1,1,1,1,1,1
130_s500728531,0,1,1,1,1,1,1
131_s880939931,0,1,1,1,1,1,1
132_s872301249,2,1,0,0,1,1,1
133_s551383921,2,0,0,0,1,1,1
134_s444443884,2,0,0,0,1,1,1
135_s308299036,2,1,1,1,1,1,1
136_s986830621,2,0,1,1,1,1,1
137_s280339972,0,1,1,1,1,1,1
138_s659208899,0,1,1,1,1,1,1
139_s448965474,0,0,0,1,0,0,1
140_s914142925,0,1,1,1,1,1,1
141_s128208907,0,0,0,0,0,0,0
142_s495725218,0,0,1,1,1,1,1
143_s834457628,2,1,1,0,1,1,1
144_s890154115,2,0,0,0,1,1,0
145_s535721522,2,1,1,1,1,1,1
146_s835586464,0,1,1,1,1,1,1
147_s422722224,2,0,0,0,1,1,1
148_s848925146,0,1,1,1,1,1,1
149_s083640727,2,0,1,0,1,1,1
150_s800126504,0,1,1,1,1,1,1
151_s567335714,2,1,1,1,1,1,1
152_s085060749,2,0,1,1,1,1,1
153_s255059009,2,1,1,1,1,1,1
154_s626075266,2,0,1,1,1,1,1
155_s227728523,2,1,1,1,1,1,1
156_s871500072,2,1,1,1,1,1,1
157_s848542694,2,0,1,0,1,1,1
158_s372193696,1,0,1,1,0,1,0
159_s389382922,2,0,1,1,1,1,1
160_s501450188,2,1,1,0,1,1,1
161_s188461069,2,1,1,0,1,1,1
162_s414326355,2,0,1,0,1,1,1
163_s815473208,2,0,1,0,1,1,1
164_s812863444,0,1,1,1,1,1,1
165_s378701862,2,0,0,0,0,0,0
166_s399541319,2,0,1,0,1,1,1
167_s732139941,2,0,1,1,1,1,1
168_s553953528,0,0,0,0,1,0,0
169_s143148485,0,0,0,0,0,0,0
170_s002854534,2,0,1,1,1,1,1
171_s969936353,2,0,1,0,1,1,1
172_s005619017,2,0,0,0,1,1,1
173_s286562045,0,1,1,1,1,1,1
174_s153656241,2,0,1,0,0,1,0
175_s461037170,2,1,1,1,1,1,1
176_s825026886,0,1,0,0,0,0,0
177_s962268363,2,1,0,0,1,1,1
178_s827033309,0,0,1,0,0,1,0
179_s416360263,0,1,1,1,1,1,1
180_s383581698,2,0,1,1,1,1,1
181_s143467708,2,0,1,0,1,1,1
182_s399056367,0,1,1,1,1,1,1
183_s043133447,0,1,1,1,1,1,1
184_s812498382,2,1,0,0,1,1,1
185_s121331508,2,0,1,1,1,1,1
186_s364858162,2,0,1,0,1,1,1
187_s679041750,0,1,1,1,1,1,1
188_s401839933,2,1,1,0,1,1,1
189_s113352882,2,0,1,1,0,1,1
190_s904315782,0,1,1,1,1,1,1
191_s673333456,0,0,0,0,1,0,0
192_s360286480,2,0,0,0,1,1,1
193_s182277830,2,0,1,1,0,1,1
194_s495510870,2,1,1,1,1,1,1
195_s187794140,2,0,1,1,1,1,1
196_s247556399,2,0,1,1,1,1,1
197_s786314208,2,0,1,1,1,1,1
198_s531552127,2,0,1,1,1,1,1
199_s378176943,0,1,1,1,1,1,1
200_s177122638,0,0,1,1,0,1,1
201_s839803871,0,0,1,1,0,1,1
202_s129916145,2,1,1,0,0,1,0
203_s658794787,2,0,1,1,1,1,1
204_s553275677,2,0,1,1,1,1,1
205_s736214835,2,1,1,1,1,1,1
206_s608232405,0,1,1,1,1,1,1
207_s960432154,2,1,1,1,1,0,1
208_s876093087,0,1,1,1,1,1,1
209_s719207795,0,0,1,1,0,1,1
210_s631496608,2,0,0,1,1,1,1
211_s252908653,2,1,0,1,1,1,1
212_s220987769,0,0,1,1,0,1,1
213_s669279195,2,0,1,1,1,1,1
214_s002933317,2,0,0,0,0,1,1
215_s405404508,2,0,1,1,1,1,1
216_s616470250,2,0,1,1,1,1,1
217_s344045049,2,1,1,1,1,1,1
218_s834465510,2,0,1,1,1,1,1
219_s729839721,0,1,1,1,1,1,1
220_s386734816,0,1,1,1,1,1,1
221_s627653052,0,1,1,0,1,1,0
222_s197264580,2,0,1,0,1,1,1
223_s235514571,2,1,1,0,1,1,1
224_s816929275,2,0,1,0,1,1,1
225_s012495194,2,1,1,1,1,1,1
226_s495875760,2,1,1,0,1,1,1
227_s447349072,2,1,1,0,1,1,1
228_s507936785,2,0,1,0,0,1,0
229_s994674789,2,1,1,0,1,1,1
230_s517429160,2,1,1,0,1,1,1
231_s960127924,0,0,1,1,0,1,1
232_s274657067,1,1,1,1,1,1,0
233_s470649740,0,1,1,0,1,1,0
234_s685915082,0,1,1,1,1,1,1
235_s358521323,2,1,1,1,1,1,1
236_s842855549,2,1,1,1,1,1,1
237_s893265962,2,1,1,1,1,1,1
238_s248785872,2,1,1,1,1,1,1
239_s469695259,2,1,1,0,1,1,1
240_s492346875,2,1,1,1,1,1,1
241_s674018087,2,1,1,1,1,1,1
242_s373310397,2,0,1,0,1,1,1
243_s546110108,0,1,1,0,1,1,0
244_s928113223,0,1,1,1,1,1,1
245_s216038409,1,0,1,0,1,1,1
246_s405952669,0,1,1,1,1,1,1
247_s883337779,0,0,1,0,0,1,0
248_s787524090,0,0,0,0,0,0,0
249_s525617759,1,0,1,1,0,1,1
250_s802381741,0,1,1,1,1,1,1
251_s774215225,2,0,1,1,1,1,1
252_s151490277,0,1,1,1,1,1,1
253_s745267567,2,0,1,1,1,1,1
254_s473237710,2,0,1,1,1,1,1
255_s945543506,0,1,1,1,1,1,1
256_s279573062,0,1,1,1,1,1,1
257_s020138649,2,0,1,1,1,1,1
258_s494954565,0,0,1,1,0,1,0
259_s611541731,2,1,1,1,1,1,1
260_s373132073,2,0,1,0,1,1,1
261_s847534940,2,1,1,1,1,1,1
262_s417185309,0,1,1,1,1,1,1
263_s732554837,2,1,1,0,1,1,1
264_s808646625,0,1,1,1,1,1,1
265_s169990183,0,1,1,1,1,1,1
266_s282366198,0,1,0,1,1,0,1
267_s449534327,0,1,1,1,1,1,1
268_s287489311,2,1,1,1,1,1,1
269_s027941396,0,0,0,0,0,0,0
270_s699506475,2,0,1,1,1,0,1
271_s202551598,2,0,0,0,1,1,1
272_s982477875,0,0,0,0,0,0,0
273_s539272819,0,0,0,0,0,0,0
274_s069861249,0,0,0,0,0,0,0
275_s209502166,2,0,1,0,1,1,1
276_s952566595,0,0,1,0,1,1,0
277_s265682501,2,1,1,1,1,1,1
278_s459380367,0,0,1,0,0,1,0
279_s333024052,0,0,0,1,1,0,0
280_s184619545,2,1,1,1,1,1,1
281_s482839205,2,0,0,0,1,1,1
282_s524814910,0,1,1,1,1,1,1
283_s437066355,0,0,0,0,0,0,0
284_s520747654,0,0,0,0,0,0,0
285_s493557554,2,1,1,1,1,1,1
286_s505105361,2,0,1,1,1,1,1
287_s702495630,2,1,1,1,1,1,1
288_s064700252,0,0,0,0,0,0,0
289_s426054177,0,1,1,1,1,1,1
290_s355963589,0,0,0,0,0,0,0
291_s005062572,0,0,0,0,0,0,0
292_s375941288,2,1,1,1,1,1,1
293_s570874688,2,0,1,1,1,1,1
294_s920860459,2,0,1,1,1,1,1
295_s838950993,2,1,1,1,1,1,1
296_s395283504,2,1,1,1,1,1,1
297_s592015934,2,1,1,1,1,1,1
298_s319271473,0,1,1,1,1,1,1
299_s045672234,2,1,1,1,1,1,1
300_s752612514,2,1,1,1,1,1,1